,Country,Year,HOUSE_OVERCROWD,HOUSE_COST_BURDEN,HOUSE_SANITARY_X
305,LVA,2022,32.8301042318344,7.36638233065605,
306,MEX,2010,35.657012462616,16.4168179035187,57.68985152
307,MEX,2012,35.0465834140778,18.8629120588303,57.6744318
308,MEX,2014,33.2659661769867,17.7586570382118,57.3782146
309,MEX,2016,33.8695973157883,11.4889658987522,59.60685611
310,MEX,2018,33.1911206245422,9.43504720926285,59.34069753
311,MEX,2020,31.0435563325882,18.4004321694374,53.47543359
312,MEX,2022,29.9743056297302,8.25645923614502,
313,NLD,2010,2.11842432618141,11.6680048406124,0.0
314,NLD,2011,1.77888218313456,12.9871308803558,0.0
315,NLD,2012,2.7602780610323,13.681860268116,0.217379932
316,NLD,2013,3.09864562004805,15.3202086687088,0.0
317,NLD,2014,3.60974483191967,15.2855336666107,0.0
318,NLD,2015,3.48619185388088,17.9122149944305,0.475109601
319,NLD,2016,4.3135978281498,14.3136724829674,0.434604473
320,NLD,2017,4.32107076048851,14.711232483387,1.154784579
321,NLD,2018,4.27853353321552,14.1914129257202,0.067388982
322,NLD,2019,4.33706231415272,12.629272043705,0.0
323,NLD,2020,4.62898202240467,12.2661344707012,0.18883124
324,NLD,2021,3.70166078209877,12.6121744513512,
325,NLD,2022,3.46891358494759,12.8296032547951,
326,NOR,2010,6.05386272072792,11.3351851701736,0.0
327,NOR,2011,6.11524060368538,12.0854504406452,3.450427204
328,NOR,2012,6.06539063155651,12.4839268624783,0.0
329,NOR,2013,7.07673877477646,11.6208374500275,0.0
330,NOR,2014,5.43880946934223,16.6816234588623,0.0
331,NOR,2015,6.07909150421619,17.4088463187218,0.0
332,NOR,2016,5.77272772789001,16.1674842238426,0.0
333,NOR,2017,6.14771246910095,15.3518751263618,0.0
334,NOR,2018,7.36623555421829,17.5776243209839,0.0
335,NOR,2019,7.34086930751801,16.1744773387909,0.0
336,NOR,2020,7.00541362166405,15.9478709101677,0.0
337,NZL,2013,1.35033201270955,,
338,NZL,2018,0.821102864051628,,
339,NZL,2019,0.7,,
340,NZL,2020,0.7,,
341,NZL,2021,0.7,,
342,POL,2010,38.3512228727341,13.2118508219719,17.48332083
343,POL,2011,38.3629977703094,19.1334411501884,16.03989303
344,POL,2012,37.0480507612228,16.0186305642128,16.40743762
345,POL,2013,35.7118487358093,17.2770038247108,16.0050258
346,POL,2014,35.3622019290924,15.0990828871727,15.04074335
347,POL,2015,33.2670390605927,14.1544505953789,13.00374866
348,POL,2016,31.8205595016479,13.706935942173,11.48936227
349,POL,2017,31.6832721233368,13.262315094471,10.66597998
350,POL,2018,30.6500613689423,15.6632333993912,10.21487415
351,POL,2019,29.3557792901993,16.8428972363472,9.601120651
352,POL,2020,28.4197270870209,14.3550261855125,7.712440193
353,POL,2021,27.5309205055237,14.8253932595253,
354,POL,2022,28.3974707126617,11.390071362257,
355,PRT,2010,8.9065745472908,21.0023164749146,6.439453363
356,PRT,2011,6.3974991440773,18.4355780482292,3.672692552
357,PRT,2012,5.73588348925114,23.60008507967,2.291217633
358,PRT,2013,6.07500821352005,23.0196684598923,2.227665111
359,PRT,2014,5.51965534687042,21.4342027902603,3.554681316
360,PRT,2015,5.3651437163353,22.7245941758156,3.657663241
361,PRT,2016,5.41521348059177,20.3915178775787,4.356602207
362,PRT,2017,4.93813529610634,20.7648783922195,4.237927869
363,PRT,2018,5.13937436044216,13.4466499090195,3.542796895
364,PRT,2019,5.01010678708553,13.7630730867386,2.24959664
365,PRT,2020,4.85176183283329,11.8104040622711,2.017624117
366,PRT,2021,5.52620217204094,14.6271854639053,
367,PRT,2022,4.26317453384399,19.0067753195763,
368,SVK,2010,29.7231286764145,6.43948242068291,7.541044801
369,SVK,2011,29.0748119354248,8.68621319532394,7.777450234
370,SVK,2012,28.5584181547165,7.30771720409393,6.452095509
371,SVK,2013,29.4558495283127,6.64942339062691,4.613197967
