Country,Date,Total Asset
AE,2010-08,57.74
AE,2010-09,56.74
AE,2010-10,61.06
AE,2010-11,62.89
AE,2010-12,62.34
AE,2011-01,62.43
AE,2011-02,67.25
AE,2011-03,70.81
AE,2011-04,75.57
AE,2011-05,75.8
AE,2011-06,74.47
AE,2011-07,72.92
AE,2011-08,71.5
AE,2011-09,70.14
AE,2011-10,70.14
AE,2011-11,70.14
AE,2011-12,63.79
AE,2012-01,65.58
AE,2012-02,65.71
AE,2012-03,68.44
AE,2012-04,68.46
AE,2012-05,66.53
AE,2012-06,67.87
AE,2012-07,67.61
AE,2012-08,68.07
AE,2012-09,68.23
AE,2012-10,68.62
AE,2012-11,70.1
AE,2012-12,71.38
AE,2013-01,73.45
AE,2013-02,75.06
AE,2013-03,75.0
AE,2013-04,74.45
AE,2013-05,74.28
AE,2013-06,76.89
AE,2013-07,74.69
AE,2013-08,76.55
AE,2013-09,83.22
AE,2013-10,78.86
AE,2013-11,79.17
AE,2013-12,83.2
AE,2014-01,88.07
AE,2014-02,87.33
AE,2014-03,87.97
AE,2014-04,89.82
AE,2014-05,87.78
AE,2014-06,90.96
AE,2014-07,93.7
AE,2014-08,92.86
AE,2014-09,91.74
AE,2014-10,89.89
AE,2014-11,90.61
AE,2014-12,91.87
AE,2015-01,89.93
AE,2015-02,89.71
AE,2015-03,90.55
AE,2015-04,90.44
AE,2015-05,90.58
AE,2015-06,90.2
AE,2015-07,89.61
AE,2015-08,86.66
AE,2015-09,88.26
AE,2015-10,91.78
AE,2015-11,92.32
AE,2015-12,107.19
AE,2016-01,96.21
AE,2016-02,99.01
AE,2016-03,97.75
AE,2016-04,102.47
AE,2016-05,96.12
AE,2016-06,99.32
AE,2016-07,100.15
AE,2016-08,96.07
AE,2016-09,96.29
AE,2016-10,95.45
AE,2016-11,92.54
AE,2016-12,99.24
AE,2017-01,96.35
AE,2017-02,99.34
AE,2017-03,103.33
AE,2017-04,102.11
AE,2017-05,104.04
AE,2017-06,106.73
AE,2017-07,104.86
AE,2017-08,106.28
AE,2017-09,107.99
AE,2017-10,102.68
AE,2017-11,104.88
AE,2017-12,110.65
AE,2018-01,106.61
AE,2018-02,108.53
AE,2018-03,107.72
AE,2018-04,104.16
AE,2018-05,104.15
AE,2018-06,105.12
AE,2018-07,105.9
AE,2018-08,105.21
AE,2018-09,103.72
AE,2018-10,104.76
AE,2018-11,110.16
AE,2018-12,113.74
AE,2019-01,109.42
AE,2019-02,112.83
AE,2019-03,117.8
AE,2019-04,115.02
AE,2019-05,117.78
AE,2019-06,118.03
AE,2019-07,114.58
AE,2019-08,115.07
AE,2019-09,116.26
AE,2019-10,116.31
AE,2019-11,119.75
AE,2019-12,121.51
AE,2020-01,121.76
AE,2020-02,124.46
AE,2020-03,122.54
AE,2020-04,123.12
AE,2020-05,120.73
AE,2020-06,120.95
AE,2020-07,121.53
AE,2020-08,123.66
AE,2020-09,123.77
AE,2020-10,120.8
AE,2020-11,120.09
AE,2020-12,128.12
AE,2021-01,125.25
AE,2021-02,126.01
AE,2021-03,127.98
AE,2021-04,128.51
AE,2021-05,130.38
AE,2021-06,129.64
AE,2021-07,129.49
AE,2021-08,131.3
AE,2021-09,132.42
AE,2021-10,134.56
AE,2021-11,135.6
AE,2021-12,142.02
AE,2022-01,141.19
AE,2022-02,144.21
AE,2022-03,137.97
AE,2022-04,138.82
